,Code,accountsPayable,cash,commonStock,deferredLongTermAssetCharges,goodWill,intangibleAssets,longTermDebt,longTermInvestments,minorityInterest,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,inventory,capitalSurplus,deferredLongTermLiab
2021-03-31 00:00:00,AST,38400000.0,827900000.0,5492600000.0,,12000000.0,1717000000.0,9378400000.0,130100000.0,,204700000.0,1705900000.0,766500000.0,45000000.0,100400000.0,968600000.0,-2844300000.0,10163000000.0,786600000.0,339000000.0,719800000.0,14629600000.0,1841000000.0,763300000.0,11194700000.0,3434900000.0,-2844300000.0,43500000.0,,
2020-12-31 00:00:00,OSH,,540842000.0,3857120000.0,1071024000.0,,,2225605000.0,59534000.0,,169446000.0,5570299000.0,1226391000.0,,236485000.0,2267092000.0,737000.0,9234305000.0,1712442000.0,691350000.0,,11388265000.0,868035000.0,969456000.0,5817966000.0,5570299000.0,737000.0,127789000.0,,
0,VAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30 00:00:00,ORG,2205000000.0,472000000.0,7163000000.0,,3812000000.0,562000000.0,2947000000.0,8461000000.0,20000000.0,2305000000.0,5421000000.0,383000000.0,967000000.0,1445000000.0,1939000000.0,525000000.0,3536000000.0,2132000000.0,1992000000.0,,21037000000.0,4283000000.0,5939000000.0,11222000000.0,9795000000.0,500000000.0,113000000.0,,
2021-06-30 00:00:00,TWE,322100000.0,448100000.0,3280700000.0,183700000.0,277500000.0,878000000.0,915200000.0,,4100000.0,585000000.0,2431600000.0,1266700000.0,148200000.0,416200000.0,339800000.0,-88000000.0,1804700000.0,394400000.0,,,6284200000.0,2057300000.0,878500000.0,2693000000.0,3587100000.0,-88000000.0,839700000.0,,
2020-12-31 00:00:00,OZL,190100000.0,131700000.0,2371400000.0,7000000.0,,,,,,173800000.0,3211400000.0,307300000.0,,63600000.0,413400000.0,-33700000.0,3879400000.0,873700000.0,,,4756000000.0,569300000.0,446900000.0,1544600000.0,3211400000.0,-33700000.0,252100000.0,,
2021-06-30 00:00:00,SPK,270000000.0,72000000.0,1084000000.0,,222000000.0,649000000.0,1121000000.0,227000000.0,,588000000.0,632000000.0,295000000.0,55000000.0,106000000.0,97000000.0,-371000000.0,1804000000.0,790000000.0,219000000.0,,4113000000.0,916000000.0,939000000.0,2610000000.0,1503000000.0,-371000000.0,64000000.0,,64000000.0
2021-06-30 00:00:00,MIN,557300000.0,1542100000.0,535900000.0,128500000.0,1400000.0,35300000.0,920200000.0,388200000.0,42600000.0,331300000.0,3166800000.0,844300000.0,-300000.0,200400000.0,517800000.0,15700000.0,2550400000.0,2673300000.0,,,5852900000.0,2033300000.0,984400000.0,2606800000.0,3203500000.0,-5700000.0,122600000.0,,
2021-06-30 00:00:00,MCY,,163000000.0,378000000.0,,,47000000.0,1041000000.0,102000000.0,,320000000.0,4139000000.0,126000000.0,351000000.0,562000000.0,1634000000.0,3694000000.0,6828000000.0,214000000.0,491000000.0,,7978000000.0,875000000.0,1057000000.0,3792000000.0,4186000000.0,3594000000.0,24000000.0,,
2017-06-30 00:00:00,CHC,1137000.0,174418000.0,1741809000.0,1582000.0,,65400000.0,,1506320000.0,,65474000.0,1656871000.0,41932000.0,,97054000.0,21459000.0,-45064000.0,18764000.0,25526000.0,,,1873037000.0,240621000.0,129307000.0,150766000.0,1722271000.0,-45064000.0,,,
