Code,Company,Price,% Chg,1 Year,Market Cap,,https://www.marketindex.com.au/asx-listed-companies
CBA,Commonwealth Bank of Australia,$101.66 ,-0.25%,46.74%,$173.47 B,,
CSL,CSL Ltd,$297.24 ,0.12%,-1.25%,$135.44 B,,
BHP,BHP Group Ltd,$38.46 ,1.75%,4.60%,$113.47 B,,
NAB,National Australia Bank Ltd,$28.55 ,-0.11%,48.47%,$93.7 B,,
