,Code,accountsPayable,cash,commonStock,deferredLongTermAssetCharges,goodWill,intangibleAssets,longTermDebt,longTermInvestments,minorityInterest,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,inventory,capitalSurplus
2021-06-30,CBA,747063000000.0,87375000000.0,38546000000.0,2067000000.0,5317000000.0,1625000000.0,160425000000.0,94912000000.0,5000000.0,2145000000.0,71771000000.0,817061000000.0,7055000000.0,7331000000.0,5772000000.0,3249000000.0,5284000000.0,37044000000.0,45588000000.0,12666000000.0,1091962000000.0,167763000000.0,844366000000.0,1013244000000.0,78713000000.0,3123000000.0,,
2021-06-30,CSL,523000000.0,1808800000.0,,529500000.0,1188100000.0,1481600000.0,4213900000.0,21500000.0,,1648000000.0,5711600000.0,540000000.0,,378400000.0,1338900000.0,633200000.0,7536000000.0,12252700000.0,250000000.0,4800000.0,18156900000.0,7389700000.0,3103600000.0,9775600000.0,8381300000.0,-3871400000.0,3780600000.0,
2021-06-30,BHP,7027000000.0,15246000000.0,2168000000.0,1912000000.0,1197000000.0,240000000.0,15934000000.0,3200000000.0,4341000000.0,6338000000.0,49827000000.0,3784000000.0,660000000.0,6748000000.0,17978000000.0,1832000000.0,73813000000.0,46779000000.0,1739000000.0,3000000.0,108927000000.0,26693000000.0,16403000000.0,53322000000.0,51264000000.0,1799000000.0,4426000000.0,518000000.0
2021-03-31,NAB,572726000000.0,52831000000.0,43713000000.0,3253000000.0,1838000000.0,1938000000.0,196716000000.0,40802000000.0,1000000.0,81003000000.0,57800000000.0,605089000000.0,2699000000.0,194000000.0,13053000000.0,91000000.0,2265000000.0,17772000000.0,,,871573000000.0,219641000000.0,600227000000.0,809996000000.0,61576000000.0,91000000.0,,
2021-03-31,WBC,585401000000.0,33877000000.0,41604000000.0,2335000000.0,,10997000000.0,154144000000.0,94693000000.0,49000000.0,221000000.0,61055000000.0,694757000000.0,8276000000.0,5579000000.0,51438000000.0,1954000000.0,3337000000.0,29097000000.0,,,889459000000.0,85675000000.0,611776000000.0,817358000000.0,72052000000.0,1351000000.0,,
